address_key,address_line1,city,state,postal_code,country_name,matched_address,match_indicator,match_type,longitude,latitude,tiger_line_id,tiger_line_side,census_state_fips,census_county_fips,census_tract,census_block,geocoded_date,source
4770 LUXE LANE UNIT 1202 A|DENTON|TX|76207.0|USA,4770 Luxe Lane Unit 1202 A,Denton,TX,76207.0,USA,"4770 Luxe Ln 1202 a, Texas 76207, USA",Match,RANGE_INTERPOLATED,-97.1874823,33.2893984,,,,,,,2026-03-16,google_geocoding_api
2200 OLYMPUS BOULEVARD 15-15303|DALLAS|TX|75019.0|USA,2200 Olympus Boulevard 15-15303,Dallas,TX,75019.0,USA,"2200 Olympus Blvd #15, Coppell, TX 75019, USA",Match,ROOFTOP,-96.9725898,32.9302535,,,,,,,2026-03-16,google_geocoding_api
2200 OLYMPUS BOULEVARD 17-17211|DALLAS|TX|75019.0|USA,2200 Olympus Boulevard 17-17211,Dallas,TX,75019.0,USA,"2200 Olympus Blvd #17, Coppell, TX 75019, USA",Match,ROOFTOP,-96.9725898,32.9302535,,,,,,,2026-03-16,google_geocoding_api
373 THOROUGHBRED TRL|MONROE|GA|30655.0|USA,373 Thoroughbred Trl,MONROE,GA,30655.0,USA,"373 Thoroughbred Trl, Monroe, GA 30655, USA",Match,ROOFTOP,-83.6561364,33.8184121,,,,,,,2026-03-16,google_geocoding_api
2200 OLYMPUS BOULEVARD 06-6207|DALLAS|TX|75019.0|USA,2200 Olympus Boulevard 06-6207,Dallas,TX,75019.0,USA,"2200 Olympus Blvd 06 6207, Coppell, TX 75019, USA",Match,ROOFTOP,-96.9725898,32.9302535,,,,,,,2026-03-16,google_geocoding_api
9620 AUGUST HILLS ROAD #18213|COPPELL|TX|75019.0|USA,9620 August Hills Road #18213,Coppell,TX,75019.0,USA,"Building 18, 9620 August Hills Rd, Coppell, TX 75019, USA",Match,ROOFTOP,-96.9723538,32.9297179,,,,,,,2026-03-16,google_geocoding_api
11840 BERNARDO TERRACE #E|SAN DIEGO|CA|92128.0|USA,11840 Bernardo Terrace #E,SAN DIEGO,CA,92128.0,USA,"11840 Bernardo Terrace, San Diego, CA 92128, USA",Match,ROOFTOP,-117.076924,33.027785,,,,,,,2026-03-16,google_geocoding_api
141 TROPEA SHR DR|HENDERSON|NV|89011.0|USA,141 Tropea Shr Dr,HENDERSON,NV,89011.0,USA,"141 Tropea Shr Dr, Henderson, NV 89011, USA",Match,ROOFTOP,-114.911222,36.097387,,,,,,,2026-03-16,google_geocoding_api
1117 OAKDALE ST W|WEST COVINA|CA|91790.0|USA,1117 OAKDALE ST W,WEST COVINA,CA,91790.0,USA,"1117 Oakdale St W, West Covina, CA 91790, USA",Match,ROOFTOP,-117.9343208,34.0674114,,,,,,,2026-03-16,google_geocoding_api
1491 STEPHENS VIEW DRIVE|LOGANVILLE|GA|30052.0|USA,1491 Stephens View Drive,Loganville,GA,30052.0,USA,"1491 Stephens Vw Dr, Loganville, GA 30052, USA",Match,RANGE_INTERPOLATED,-83.9569255,33.8385835,,,,,,,2026-03-16,google_geocoding_api
6650 ENGLE LAKE DR|LAKELAND|FL|33813.0|USA,6650 ENGLE LAKE DR,LAKELAND,FL,33813.0,USA,"6650 Engle Lake Dr, Lakeland, FL 33813, USA",Match,ROOFTOP,-81.9269559,27.9435306,,,,,,,2026-03-16,google_geocoding_api
5055 COLD WATER CANYON APT 213|LOS ANGELES|CA|91423.0|USA,5055 cold water canyon apt 213,LOS ANGELES,CA,91423.0,USA,"5055 Coldwater Canyon Ave APT 213, Sherman Oaks, CA 91423, USA",Match,ROOFTOP,-118.4143133,34.1627712,,,,,,,2026-03-16,google_geocoding_api
4766 ARGENTO PEAK ST|LAS VEGAS|NV|89135.0|USA,4766 Argento Peak St,LAS VEGAS,NV,89135.0,USA,"4766 Argento Peak St, Las Vegas, NV 89135, USA",Match,ROOFTOP,-115.329565,36.102776,,,,,,,2026-03-16,google_geocoding_api
9580 PONDERAY|LAS VEGAS|NV|89149.0|USA,9580 Ponderay,LAS VEGAS,NV,89149.0,USA,"9580 Ponderay Ct, Las Vegas, NV 89149, USA",Match,ROOFTOP,-115.3058443,36.2587316,,,,,,,2026-03-16,google_geocoding_api
23504 VISTAMAR CT. LAND O LAKES|LAND O' LAKES|FL|34638.0|USA,23504 vistamar ct. Land O lakes,LAND O' LAKES,FL,34638.0,USA,"23504 Vistamar Ct, Land O' Lakes, FL 34639, USA",Match,ROOFTOP,-82.4275025,28.2050339,,,,,,,2026-03-16,google_geocoding_api
609 DENALI DR|MABLETON|GA|30126.0|USA,609 Denali Dr,MABLETON,GA,30126.0,USA,"609 Denali Dr, Mableton, GA 30126, USA",Match,ROOFTOP,-84.53327809999999,33.82280739999999,,,,,,,2026-03-16,google_geocoding_api
14567 ELION COURT|CELINA|TX|75009.0|USA,14567 Elion Court,Celina,TX,75009.0,USA,"14567 Elion Ct, Celina, TX 75009, USA",Match,ROOFTOP,-96.87495,33.289469,,,,,,,2026-03-16,google_geocoding_api
11071 HORIZON LEDGE AVE|LAS VEGAS|NV|89135.0|USA,11071 Horizon Ledge Ave,LAS VEGAS,NV,89135.0,USA,"11071 Horizon Ledge Ave, Las Vegas, NV 89135, USA",Match,ROOFTOP,-115.334593,36.103084,,,,,,,2026-03-16,google_geocoding_api
30 ADMIRAIS WAY|ELKTON|MD|21921.0|USA,30 ADMIRAIS WAY,ELKTON,MD,21921.0,USA,"Elkton, MD 21921, USA",Match,APPROXIMATE,-75.83327179999999,39.60677889999999,,,,,,,2026-03-16,google_geocoding_api
"917 TOMPKINS AVE SOUTH PLAINFIELD,NJ,07080|SOUTH PLAINFIELD|NJ|7080.0|USA","917 TOMPKINS AVE SOUTH PLAINFIELD,NJ,07080",SOUTH PLAINFIELD,NJ,7080.0,USA,"917 Tompkins Ave, South Plainfield, NJ 07080, USA",Match,ROOFTOP,-74.4286597,40.5948105,,,,,,,2026-03-16,google_geocoding_api
420 CAMROSE AVE UNION CITY 30291|UNION CITY|GA|30291.0|USA,420 Camrose Ave UNION CITY 30291,UNION CITY,GA,30291.0,USA,"420 Camrose Ave, Union City, GA 30291, USA",Match,ROOFTOP,-84.560007,33.570763,,,,,,,2026-03-16,google_geocoding_api
1212 MEADOWBEND CT|ALLEN|TX|75002.0|USA,1212 Meadowbend Ct,ALLEN,TX,75002.0,USA,"1212 Meadowbend Ct, Allen, TX 75002, USA",Match,ROOFTOP,-96.6466785,33.1163567,,,,,,,2026-03-16,google_geocoding_api
3105 WITT RD|MELISSA|TX|75454.0|USA,3105 Witt Rd,MELISSA,TX,75454.0,USA,"3105 Witt Rd, Melissa, TX 75454, USA",Match,ROOFTOP,-96.5677509,33.2867836,,,,,,,2026-03-16,google_geocoding_api
167 W MIDLAND AVE PARAMUS 07652|PARAMUS|NJ|7652.0|USA,167 W Midland Ave Paramus 07652,PARAMUS,NJ,7652.0,USA,"167 W Midland Ave, Paramus, NJ 07652, USA",Match,ROOFTOP,-74.08458060000001,40.9576375,,,,,,,2026-03-16,google_geocoding_api
1323 N CLAYMONT WILMINGTON 19802|WILMINGTON|DE|19802.0|USA,1323 n claymont WILMINGTON 19802,WILMINGTON,DE,19802.0,USA,"1323 N Claymont St, Wilmington, DE 19802, USA",Match,ROOFTOP,-75.53250589999999,39.7436363,,,,,,,2026-03-16,google_geocoding_api
10933 RIVERVIEW RD FORT WASHINGTON|FRIENDLY|MD|20744.0|USA,10933 Riverview Rd FORT WASHINGTON,FRIENDLY,MD,20744.0,USA,"10933 Riverview Rd, Fort Washington, MD 20744, USA",Match,ROOFTOP,-77.0199142,38.7395291,,,,,,,2026-03-16,google_geocoding_api
"6644 MIMOSA CIRCLE NORTHWEST, TUCKER, GA, USA TUCKER 30084|TUCKER|GA|30084.0|USA","6644 Mimosa Circle Northwest, Tucker, GA, USA TUCKER 30084",TUCKER,GA,30084.0,USA,"6644 Mimosa Cir NW, Tucker, GA 30084, USA",Match,RANGE_INTERPOLATED,-84.1736487,33.8730719,,,,,,,2026-03-16,google_geocoding_api
"2052 JESSICA WAY, CONYERS, GA, USA CONYERS 30012|CONYERS|GA|30012.0|USA","2052 Jessica Way, Conyers, GA, USA CONYERS 30012",CONYERS,GA,30012.0,USA,"2052 Jessica Way, Conyers, GA 30012, USA",Match,ROOFTOP,-83.97129129999999,33.6935533,,,,,,,2026-03-16,google_geocoding_api
3154 BRIGHTON PASS|CONYERS|GA|30094.0|USA,3154 BRIGHTON PASS,CONYERS,GA,30094.0,USA,"3154 Brighton Pass, Conyers, GA 30094, USA",Match,ROOFTOP,-84.06271240000001,33.624036,,,,,,,2026-03-16,google_geocoding_api
9173 FOREST CREEK CT|WEST SPRINGFIELD|VA|22152.0|USA,9173 Forest Creek Ct,WEST SPRINGFIELD,VA,22152.0,USA,"9173 Forest Creek Ct, West Springfield, VA 22152, USA",Match,RANGE_INTERPOLATED,-77.24951999999999,38.783776,,,,,,,2026-03-16,google_geocoding_api
LAGUNA PLAINS DR|RIVERVIEW|FL|33578.0|USA,Laguna Plains Dr,RIVERVIEW,FL,33578.0,USA,"Laguna Plains Dr, Riverview, FL 33578, USA",Match,GEOMETRIC_CENTER,-82.3324489,27.8439796,,,,,,,2026-03-16,google_geocoding_api
5013 SANDLINE CT|LAS VEGAS|NV|89135.0|USA,5013 Sandline Ct,LAS VEGAS,NV,89135.0,USA,"5013 Sandline Ct, Summerlin, NV 89178, USA",Match,ROOFTOP,-115.334198,36.098549,,,,,,,2026-03-16,google_geocoding_api
1725 HARPER LILY LN|LAWRENCEVILLE|GA|30043.0|USA,1725 Harper Lily Ln,LAWRENCEVILLE,GA,30043.0,USA,"1725 Harper Lily Ln, Lawrenceville, GA 30043, USA",Match,ROOFTOP,-83.9821966,34.0242499,,,,,,,2026-03-16,google_geocoding_api
23809 SOLARIS CT|CORONA|CA|92883.0|USA,23809 Solaris Ct,CORONA,CA,92883.0,USA,"23809 Solaris Ct, Corona, CA 92883, USA",Match,ROOFTOP,-117.456088,33.7735399,,,,,,,2026-03-16,google_geocoding_api
11 HYBRID RD|MONSEY|NY|10952.0|USA,11 Hybrid Rd,MONSEY,NY,10952.0,USA,"11 Hybrid Rd, Monsey, NY 10952, USA",Match,ROOFTOP,-74.07933,41.11363,,,,,,,2026-03-16,google_geocoding_api
7965 CARRIAGE POINTE DR|GIBSONTON|FL|33534.0|USA,7965 Carriage Pointe Dr,GIBSONTON,FL,33534.0,USA,"7965 Carriage Pointe Dr, Gibsonton, FL 33534, USA",Match,ROOFTOP,-82.36636639999999,27.8326886,,,,,,,2026-03-16,google_geocoding_api
2525 VIA ALTA UNIT 309|SAN DIEGO|CA|92108.0|USA,2525 Via Alta Unit 309,San Diego,CA,92108.0,USA,"2525 Via Alta #309, San Diego, CA 92108, USA",Match,ROOFTOP,-117.1488675,32.7794866,,,,,,,2026-03-16,google_geocoding_api
11014 HORIZON LEDGE AVE|LAS VEGAS|NV|89135.0|USA,11014 Horizon Ledge Ave,Las Vegas,NV,89135.0,USA,"11014 Horizon Ledge Ave, Summerlin South, NV 89135, USA",Match,ROOFTOP,-115.333174,36.10366399999999,,,,,,,2026-03-16,google_geocoding_api
57 AVIATION RD SE|MARIETTA|GA|30060.0|USA,57 Aviation Rd SE,MARIETTA,GA,30060.0,USA,"57 Aviation Rd SE, Marietta, GA 30060, USA",Match,ROOFTOP,-84.527017,33.949839,,,,,,,2026-03-16,google_geocoding_api
7033 FLAX ST WEST SPRINGFIELD 22152|WEST SPRINGFIELD|VA|22152.0|USA,7033 Flax St West Springfield 22152,West Springfield,VA,22152.0,USA,"7033 Flax St, West Springfield, VA 22152, USA",Match,ROOFTOP,-77.2185287,38.7618415,,,,,,,2026-03-16,google_geocoding_api
1105 FALLGATE DRIVE|SAGINAW|TX|76179.0|USA,1105 Fallgate Drive,Saginaw,TX,76179.0,USA,"1105 Fallgate Dr, Saginaw, TX 76179, USA",Match,ROOFTOP,-97.3868022,32.8577038,,,,,,,2026-03-16,google_geocoding_api
912 RHINO WAY|MIDLOTHIAN|TX|76065.0|USA,912 Rhino Way,Midlothian,TX,76065.0,USA,"912 Rhino Wy, Midlothian, TX 76065, USA",Match,ROOFTOP,-97.0263081,32.4909191,,,,,,,2026-03-16,google_geocoding_api
10709 S 7TH AVE|INGLEWOOD|CA|90303.0|USA,10709 S 7th Ave,INGLEWOOD,CA,90303.0,USA,"10709 S 7th Ave, Inglewood, CA 90303, USA",Match,ROOFTOP,-118.3239167,33.9387927,,,,,,,2026-03-16,google_geocoding_api
1013 EGRET ST|CALIMESA|CA|92320.0|USA,1013 Egret St,CALIMESA,CA,92320.0,USA,"1013 Egret St, Calimesa, CA 92320, USA",Match,ROOFTOP,-117.0366518,33.9632451,,,,,,,2026-03-16,google_geocoding_api
1232 WOODSVIEW DRIVE|UPPER CHICHESTER|PA|19014.0|USA,1232 Woodsview Drive,Upper Chichester,PA,19014.0,USA,"1232 Woodsview Dr, UPPR CHICHSTR, PA 19014, USA",Match,ROOFTOP,-75.4704584,39.8603792,,,,,,,2026-03-16,google_geocoding_api
2248 ALANHURST DR|HENDERSON|NV|89052.0|USA,2248 Alanhurst Dr,HENDERSON,NV,89052.0,USA,"2248 Alanhurst Dr, Henderson, NV 89052, USA",Match,ROOFTOP,-115.0884637,36.011391,,,,,,,2026-03-16,google_geocoding_api
"12 REDCOAT DRIVE EAST BRUNSWICK ,NJ ,08816|EAST BRUNSWICK|NJ|8816.0|USA","12 Redcoat Drive EAST BRUNSWICK ,NJ ,08816",EAST BRUNSWICK,NJ,8816.0,USA,"12 Redcoat Dr, East Brunswick, NJ 08816, USA",Match,ROOFTOP,-74.4251276,40.4273709,,,,,,,2026-03-16,google_geocoding_api
3316 MCKINLEY ST|SAN DIEGO|CA|92104.0|USA,3316 MCKINLEY ST,SAN DIEGO,CA,92104.0,USA,"3316 McKinley St, San Diego, CA 92104, USA",Match,ROOFTOP,-117.1206135,32.7396155,,,,,,,2026-03-16,google_geocoding_api
